Subject,Stat_Eff_AUC,Stat_SWP_AUC,Stat_Clust_AUC,Stat_Stre_AUC,Stat_Betw_AUC,Stat_Part_AUC,Dyn_EffVar_AUC,Dyn_MeanBOLD_Var,Dyn_MeanEdge_Var
Subj_01,0.01301461331272776,0.5872820736253683,-0.4336911447571798,-0.11854101726865963,-0.3095677117542696,0.9661555635915978,-0.24525246504669332,-0.7423995405887858,0.0681281369813982
Subj_02,-1.1815615708285223,0.9815449630291978,-1.0549989925174525,-1.140143703747777,1.3983828805395855,0.09750086467717939,-1.2867467876574565,-0.3836956559685329,-1.4158040402202423
Subj_03,1.7440456177636234,-2.7269290837069944,2.6812690971180313,2.264340767765771,-1.4739142611946099,1.0108030532243526,1.1978208039938596,1.0966751734709324,0.7228643680060978
Subj_04,-0.13421583692208575,0.7285399557310132,0.2978143557569808,-0.26902037111558913,1.3001087469875638,-1.4481098394560863,-0.6803447815025621,-0.4794785272482144,-0.2363989027075934
Subj_05,-0.6892492729502465,0.8746298309202671,-0.11479728257710178,-0.8323342156062268,0.6812509498113302,0.8250364493029726,-0.9390406282722077,-0.468996404811666,-0.5454464733148505
Subj_06,0.8125716915584675,-0.7255500527771895,0.542160422264564,0.8741580242558831,-1.9204557694029107,1.0760442960804675,1.3737480934277646,0.7962358832024805,0.4154198602690318
Subj_07,0.05441441461266367,-1.105173253168485,1.0276447741019816,0.37186122044270836,0.3904672121779475,-0.060107595126291935,0.1715285776173013,-0.6443678834758669,-0.20571999567713042
Subj_08,-0.8897674630609881,0.9008663313681398,-1.6668408995385715,-0.9839971425890128,1.6343754231651968,0.18090293338258917,-1.3731463328079845,-1.26158256861838,-1.011714982124587
Subj_09,1.004879457754559,-1.9281495964625344,1.7187880420896962,1.3760484322258024,-1.1843421224680313,0.33812515659612896,1.9628371181956554,0.09852518586554526,0.10724383511942151
Subj_10,-0.1686428763270359,0.0991631963225236,-0.5995290765759138,-0.2070298030759864,-0.3110485548625891,0.5892669635280704,-0.31309823959859023,-0.36593269017633384,0.3004409227781406
Subj_11,2.1594059756566875,-1.8468667658042677,1.5520959089162119,2.050570674508375,1.1922764442818508,0.2588150137637853,1.56514913720433,1.3473086481796848,2.0949583695301133
Subj_12,0.9258201686740803,-1.838696608997492,0.5506774296302265,1.1396237649683734,-0.4055532695934403,0.34315057211712946,0.7007342508077,0.4464585699160836,0.47081377590062123
Subj_13,-0.4077061153424844,-0.7982423750630567,0.8858949982041313,-0.0553034972118015,0.23605566261059197,0.013744788986296037,-0.07159860510687346,-1.5631143141600343,-0.5386580931009312
Subj_14,-1.0711789826005784,1.720773577575332,-0.9895645025267928,-1.200523809095681,1.3180134863881392,-1.2570300633307046,-1.1356179776008493,-1.0908467449612878,-0.7933609480399084
Subj_15,-0.5082171785563511,0.9841725235637131,-1.5070776179501786,-0.7725829644125225,0.3150788357544775,-1.1937969865358633,-0.9402809126344808,-0.5771184785581007,-0.1653350961170416
Subj_16,-0.496302452494485,-0.9283676659318691,1.0557243661801226,-0.12743187316014576,0.7924488050359471,-2.0950277910364252,-0.017842303907970716,-0.06533840840308663,-0.6201251356385502
